OrderID,OrderDate,CustomerID,CustomerName,ProductName,Category,SubCategory,Quantity,Sales,Profit,Region,State
ORD-10022,2023-09-30,CUST-1109,Nancy Taylor,HP LaserJet Pro,Technology,Accessories,6,1132.97,102.19,East,Pennsylvania
ORD-10023,2022-10-14,CUST-1165,Karen Brown,Office Desk V2,Furniture,Tables,7,1129.82,390.2,West,Nevada
ORD-10024,2021-07-24,CUST-1191,James Miller,USB Hub Elite,Technology,Phones,3,1928.7,334.69,South,Texas
ORD-10025,2022-10-11,CUST-1043,Nancy Brown,Ballpoint Pens Set Pro,Office Supplies,Storage,9,100.15,30.29,South,Virginia
ORD-10026,2021-12-07,CUST-1181,John Taylor,Office Desk Plus,Furniture,Chairs,5,2387.01,222.91,East,New York
ORD-10027,2022-05-09,CUST-1090,Susan Jackson,3-Ring Binder Plus,Office Supplies,Pens,5,50.28,20.59,West,California
ORD-10028,2023-05-19,CUST-1047,Linda Wilson,MacBook Pro Pro,Technology,Laptops,7,1158.38,-72.6,North,Ohio
ORD-10029,2021-01-17,CUST-1146,Charles Harris,Sticky Notes Pack Pro,Office Supplies,Binders,1,150.21,57.55,East,New Jersey
ORD-10030,2021-10-08,CUST-1151,Sarah Harris,Filing Cabinet V2,Furniture,Bookcases,5,960.96,255.08,West,Arizona
ORD-10031,2021-09-28,CUST-1140,Mary Taylor,Coffee Table Plus,Furniture,Bookcases,9,1190.44,375.46,North,Michigan
ORD-10032,2022-04-08,CUST-1166,Betty Wilson,MacBook Pro Elite,Technology,Accessories,9,1818.82,321.46,North,Illinois
ORD-10033,2023-01-31,CUST-1090,Susan Jackson,Coffee Table Standard,Furniture,Furnishings,9,207.1,16.82,South,Virginia
ORD-10034,2021-03-18,CUST-1116,Richard Williams,Dell XPS Standard,Technology,Accessories,9,1246.78,73.28,East,Massachusetts
ORD-10035,2023-09-30,CUST-1154,Robert Wilson,Tape Dispenser Pro,Office Supplies,Labels,6,59.55,8.6,West,Nevada
ORD-10036,2022-01-24,CUST-1031,Thomas Garcia,Coffee Table V1,Furniture,Bookcases,2,1453.9,312.74,East,New Jersey
ORD-10037,2021-05-21,CUST-1163,Michael Jones,Filing Cabinet V1,Furniture,Bookcases,4,1253.24,102.04,West,Arizona
ORD-10038,2021-02-22,CUST-1141,Robert Harris,USB Hub Standard,Technology,Laptops,10,914.86,-35.69,South,Florida
ORD-10039,2023-11-18,CUST-1014,Patricia Williams,MacBook Pro Plus,Technology,Phones,9,966.82,121.02,North,Minnesota
ORD-10040,2021-06-15,CUST-1143,Lisa Garcia,MacBook Pro Elite,Technology,Printers,10,328.39,4.54,North,Minnesota
ORD-10041,2022-03-17,CUST-1048,Linda Thomas,Dell XPS Pro,Technology,Printers,8,2223.58,345.47,East,New York
ORD-10042,2021-07-06,CUST-1001,Susan Miller,File Folders Pro,Office Supplies,Binders,3,181.25,49.78,West,Nevada
ORD-10043,2022-08-13,CUST-1152,Charles Miller,Tape Dispenser Pro,Office Supplies,Paper,8,51.14,19.85,South,North Carolina
ORD-10044,2021-02-23,CUST-1112,John Jackson,Filing Cabinet Pro,Furniture,Bookcases,1,933.04,20.68,North,Wisconsin
ORD-10045,2021-05-23,CUST-1193,Sarah Davis,USB Hub Pro,Technology,Phones,9,1593.93,74.82,West,Arizona
ORD-10046,2021-04-12,CUST-1003,Sarah Smith,MacBook Pro Elite,Technology,Accessories,8,702.09,31.57,East,Massachusetts
ORD-10047,2023-12-16,CUST-1016,Barbara Taylor,Office Desk Pro,Furniture,Bookcases,1,200.86,6.38,East,Pennsylvania
ORD-10048,2021-12-26,CUST-1028,Susan Taylor,MacBook Pro V1,Technology,Accessories,6,779.89,157.24,East,New Jersey
ORD-10049,2023-05-06,CUST-1129,Susan Moore,Samsung Galaxy Pro,Technology,Phones,3,1030.43,119.88,North,Wisconsin
ORD-10050,2023-12-10,CUST-1193,Sarah Davis,Standing Desk V2,Furniture,Furnishings,3,1657.28,-32.23,West,Nevada
ORD-10051,2022-06-09,CUST-1199,Thomas Brown,USB Hub Elite,Technology,Accessories,3,1714.36,205.35,West,California
ORD-10052,2021-05-20,CUST-1191,James Miller,File Folders Plus,Office Supplies,Storage,10,160.28,27.91,South,Florida
ORD-10053,2023-11-05,CUST-1138,John Miller,Coffee Table Pro,Furniture,Chairs,1,1343.98,174.57,South,Texas
ORD-10054,2022-12-05,CUST-1166,Betty Wilson,3-Ring Binder Pro,Office Supplies,Storage,8,25.09,7.37,East,New Jersey
ORD-10055,2022-11-17,CUST-1152,Charles Miller,Dell XPS V2,Technology,Accessories,10,2136.65,35.63,North,Ohio
ORD-10056,2022-09-27,CUST-1187,Mary Davis,Dell XPS Standard,Technology,Accessories,3,1619.43,307.91,West,Arizona
ORD-10057,2022-09-25,CUST-1014,Patricia Williams,Tape Dispenser Pro,Office Supplies,Paper,8,189.8,21.25,South,Texas
ORD-10058,2021-11-12,CUST-1001,Susan Miller,Coffee Table Standard,Furniture,Chairs,3,1669.5,398.13,West,Arizona
ORD-10059,2022-05-05,CUST-1047,Linda Wilson,Lounge Chair Plus,Furniture,Furnishings,4,498.73,48.44,North,Michigan
ORD-10060,2022-05-28,CUST-1007,Jessica Garcia,Dell XPS V1,Technology,Printers,2,1217.06,98.06,West,Washington
ORD-10061,2022-03-31,CUST-1138,John Miller,Storage Unit V1,Furniture,Bookcases,7,1234.22,-35.42,West,Nevada
ORD-10062,2021-10-27,CUST-1156,Betty Jones,iPhone 14 V1,Technology,Laptops,3,738.59,47.41,South,Texas
ORD-10063,2023-05-17,CUST-1202,Karen White,Filing Cabinet V1,Furniture,Bookcases,1,211.22,9.58,West,Arizona
ORD-10064,2023-05-30,CUST-1159,Lisa Williams,Executive Chair V1,Furniture,Furnishings,3,52.27,11.28,West,Washington
ORD-10065,2023-03-04,CUST-1165,Karen Brown,A4 Paper Ream Elite,Office Supplies,Labels,2,8.17,2.46,North,Minnesota
ORD-10066,2022-11-25,CUST-1164,David Taylor,3-Ring Binder Plus,Office Supplies,Binders,8,176.94,13.31,East,Pennsylvania
ORD-10067,2022-10-09,CUST-1072,Mary White,Filing Cabinet Pro,Furniture,Bookcases,9,1403.39,195.58,East,Massachusetts
ORD-10068,2023-06-14,CUST-1036,Susan Jones,Samsung Galaxy Elite,Technology,Phones,3,2787.92,206.68,South,Texas
ORD-10069,2022-08-25,CUST-1155,Richard Anderson,Dell XPS Plus,Technology,Phones,10,1596.98,-66.55,East,New Jersey
ORD-10070,2023-04-12,CUST-1004,Karen Davis,Office Desk V1,Furniture,Bookcases,1,576.8,4.1,South,Texas
ORD-10071,2021-03-08,CUST-1128,Lisa Jones,Filing Cabinet Pro,Furniture,Chairs,6,927.39,118.31,South,Georgia
ORD-10072,2022-01-17,CUST-1066,James Garcia,HP LaserJet Elite,Technology,Accessories,5,985.86,144.34,West,California
ORD-10073,2023-07-15,CUST-1143,Lisa Garcia,Wireless Mouse Pro,Technology,Printers,6,2209.83,327.8,East,Massachusetts
ORD-10074,2021-09-06,CUST-1043,Nancy Brown,USB Hub Elite,Technology,Laptops,8,1986.4,186.54,South,Virginia
ORD-10075,2023-12-13,CUST-1032,Joseph Miller,Standing Desk Pro,Furniture,Chairs,6,983.95,203.61,South,North Carolina
ORD-10076,2021-09-12,CUST-1187,Mary Davis,Bookcase Pro V1,Furniture,Tables,4,801.25,70.84,North,Wisconsin
ORD-10077,2021-07-11,CUST-1047,Linda Wilson,HP LaserJet Elite,Technology,Laptops,10,2476.59,276.88,West,Oregon
ORD-10078,2022-03-08,CUST-1057,Robert Miller,Standing Desk Pro,Furniture,Chairs,8,1162.09,355.13,East,Connecticut
ORD-10079,2021-05-03,CUST-1143,Lisa Garcia,Dell XPS Standard,Technology,Laptops,6,1056.59,9.94,South,North Carolina
ORD-10080,2021-08-06,CUST-1202,Karen White,USB Hub Plus,Technology,Printers,2,662.72,153.01,South,Virginia
ORD-10081,2023-10-18,CUST-1041,Patricia Anderson,Coffee Table V2,Furniture,Tables,8,1494.16,-60.86,South,Florida
ORD-10082,2023-08-22,CUST-1153,Robert Smith,Executive Chair Plus,Furniture,Bookcases,5,58.32,14.06,East,Pennsylvania
ORD-10083,2023-10-30,CUST-1142,Linda Garcia,Coffee Table Plus,Furniture,Tables,10,703.01,156.18,South,Texas
ORD-10084,2023-04-03,CUST-1087,Linda Jones,Samsung Galaxy Elite,Technology,Accessories,6,141.9,11.6,West,Washington
ORD-10085,2022-11-20,CUST-1047,Linda Wilson,Coffee Table Plus,Furniture,Bookcases,8,1267.15,350.11,West,Nevada
ORD-10086,2022-04-12,CUST-1193,Sarah Davis,A4 Paper Ream V2,Office Supplies,Binders,10,38.25,14.48,North,Ohio
ORD-10087,2023-05-08,CUST-1106,Thomas Wilson,Filing Cabinet V1,Furniture,Chairs,10,269.58,85.78,East,New Jersey
ORD-10088,2023-02-11,CUST-1144,Joseph Jackson,Stapler Pro Standard,Office Supplies,Pens,6,182.86,72.61,South,North Carolina
ORD-10089,2022-09-04,CUST-1195,Mary Williams,Scissors Set Plus,Office Supplies,Binders,5,63.03,15.48,West,Washington
ORD-10090,2023-02-17,CUST-1047,Linda Wilson,HP LaserJet Pro,Technology,Accessories,3,1004.5,0.67,East,Connecticut
ORD-10091,2022-07-10,CUST-1089,Christopher Davis,Mechanical Keyboard V2,Technology,Accessories,10,467.42,-38.44,West,Washington
ORD-10092,2023-08-26,CUST-1154,Robert Wilson,A4 Paper Ream Plus,Office Supplies,Pens,3,95.5,38.33,East,New Jersey
ORD-10093,2021-07-03,CUST-1137,Linda Brown,Sticky Notes Pack V2,Office Supplies,Pens,1,192.36,77.5,South,Georgia
ORD-10094,2021-01-19,CUST-1041,Patricia Anderson,Storage Unit Plus,Furniture,Furnishings,6,482.67,30.81,West,Oregon
ORD-10095,2021-11-29,CUST-1154,Robert Wilson,Lounge Chair V2,Furniture,Furnishings,6,1767.07,470.58,West,California
ORD-10096,2021-07-15,CUST-1193,Sarah Davis,Tape Dispenser Pro,Office Supplies,Storage,5,47.63,7.47,South,Texas
ORD-10097,2021-08-31,CUST-1190,Richard Wilson,HP LaserJet Pro,Technology,Phones,5,1780.99,220.04,South,Florida
ORD-10098,2023-07-21,CUST-1103,Jennifer Smith,Stapler Pro V2,Office Supplies,Pens,8,131.59,50.04,West,Nevada
ORD-10099,2021-06-09,CUST-1014,Patricia Williams,Ballpoint Pens Set Elite,Office Supplies,Labels,4,227.89,41.3,North,Wisconsin
ORD-10100,2023-07-02,CUST-1002,Christopher Smith,Wireless Mouse V1,Technology,Phones,1,1562.91,211.73,North,Illinois
ORD-10101,2021-04-03,CUST-1143,Lisa Garcia,iPhone 14 V1,Technology,Accessories,1,1759.95,-133.48,West,Arizona
ORD-10102,2023-02-23,CUST-1188,Susan Johnson,USB Hub Standard,Technology,Printers,2,2295.27,302.12,West,Nevada
ORD-10103,2022-04-02,CUST-1058,Karen Smith,USB Hub V2,Technology,Phones,8,1897.76,171.85,North,Wisconsin
ORD-10104,2021-08-20,CUST-1168,David Smith,Coffee Table Plus,Furniture,Furnishings,1,822.06,38.03,West,Oregon
ORD-10105,2022-04-25,CUST-1017,Daniel Jackson,Stapler Pro Standard,Office Supplies,Paper,3,156.33,58.83,East,New Jersey
ORD-10106,2023-12-04,CUST-1031,Thomas Garcia,File Folders Pro,Office Supplies,Binders,3,261.55,64.93,West,Oregon
ORD-10107,2022-09-07,CUST-1158,Christopher Miller,File Folders V1,Office Supplies,Storage,4,97.34,36.24,North,Minnesota
ORD-10108,2022-06-07,CUST-1165,Karen Brown,Tape Dispenser Plus,Office Supplies,Storage,2,153.46,10.84,West,Nevada
ORD-10109,2022-03-21,CUST-1186,Jessica Taylor,A4 Paper Ream Standard,Office Supplies,Labels,1,69.93,24.24,East,Massachusetts
ORD-10110,2022-10-21,CUST-1048,Linda Thomas,Wireless Mouse Plus,Technology,Laptops,6,970.23,25.11,North,Michigan
ORD-10111,2023-04-28,CUST-1106,Thomas Wilson,Coffee Table Plus,Furniture,Furnishings,1,116.29,6.32,West,Oregon
ORD-10112,2022-05-19,CUST-1043,Nancy Brown,Wireless Mouse Standard,Technology,Laptops,5,1646.88,116.96,South,Florida
ORD-10113,2023-09-28,CUST-1157,Joseph Smith,USB Hub Standard,Technology,Printers,1,2226.73,431.26,South,Florida
ORD-10114,2021-11-06,CUST-1001,Susan Miller,Office Desk Elite,Furniture,Chairs,10,945.7,297.99,West,Washington
ORD-10115,2022-08-11,CUST-1146,Charles Harris,A4 Paper Ream V2,Office Supplies,Storage,3,131.15,14.37,East,Connecticut
ORD-10116,2021-06-11,CUST-1059,Daniel Brown,Sticky Notes Pack Standard,Office Supplies,Labels,4,195.43,16.07,South,Georgia
ORD-10117,2023-09-02,CUST-1048,Linda Thomas,Office Desk V1,Furniture,Chairs,8,131.37,37.85,North,Minnesota
ORD-10118,2022-07-10,CUST-1061,Charles Taylor,Stapler Pro V1,Office Supplies,Paper,10,148.49,57.94,West,Arizona
ORD-10119,2022-05-08,CUST-1187,Mary Davis,Office Desk Standard,Furniture,Tables,9,871.71,72.08,East,Pennsylvania
ORD-10120,2022-04-21,CUST-1185,William Johnson,File Folders Pro,Office Supplies,Paper,10,154.96,9.58,East,New York
ORD-10121,2023-06-04,CUST-1001,Susan Miller,Wireless Mouse V2,Technology,Printers,5,864.99,129.39,South,Virginia
ORD-10122,2021-07-07,CUST-1098,Charles Thomas,Dell XPS Elite,Technology,Laptops,3,737.58,37.5,South,Georgia
ORD-10123,2021-07-10,CUST-1192,Daniel Jones,iPhone 14 V2,Technology,Phones,7,2376.4,-167.19,East,Pennsylvania
ORD-10124,2022-07-05,CUST-1157,Joseph Smith,3-Ring Binder V2,Office Supplies,Labels,7,85.32,16.59,North,Michigan
ORD-10125,2022-09-16,CUST-1078,Patricia Moore,Stapler Pro Standard,Office Supplies,Storage,7,169.11,31.1,North,Illinois
ORD-10126,2023-09-09,CUST-1140,Mary Taylor,Sticky Notes Pack V2,Office Supplies,Pens,5,193.9,84.75,South,Virginia
ORD-10127,2022-02-14,CUST-1119,Patricia Jones,HP LaserJet V2,Technology,Printers,9,1377.7,212.89,North,Ohio
ORD-10128,2022-09-13,CUST-1157,Joseph Smith,MacBook Pro Plus,Technology,Accessories,7,1656.9,408.83,North,Minnesota
ORD-10129,2021-06-24,CUST-1196,Thomas Harris,Tape Dispenser Plus,Office Supplies,Labels,10,32.0,10.27,East,Pennsylvania
ORD-10130,2022-03-31,CUST-1190,Richard Wilson,MacBook Pro Standard,Technology,Printers,10,1311.43,40.58,East,New York
ORD-10131,2021-08-03,CUST-1086,Betty Garcia,3-Ring Binder Elite,Office Supplies,Labels,3,158.37,57.6,South,Texas
ORD-10132,2022-10-16,CUST-1076,Thomas Moore,Mechanical Keyboard V2,Technology,Accessories,1,140.37,17.8,East,New Jersey
ORD-10133,2023-05-24,CUST-1186,Jessica Taylor,3-Ring Binder Standard,Office Supplies,Pens,3,83.98,17.49,West,Oregon
ORD-10134,2022-03-16,CUST-1051,Linda Davis,Scissors Set Pro,Office Supplies,Pens,2,162.7,43.08,North,Minnesota
ORD-10135,2023-12-17,CUST-1200,John Davis,Mechanical Keyboard Standard,Technology,Laptops,2,1952.89,382.63,East,Pennsylvania
ORD-10136,2022-05-04,CUST-1110,Nancy Jackson,Ballpoint Pens Set Plus,Office Supplies,Binders,9,140.22,39.25,West,Oregon
ORD-10137,2021-10-15,CUST-1045,Charles Davis,Bookcase Pro Plus,Furniture,Furnishings,6,321.29,106.26,West,Nevada
ORD-10138,2023-06-29,CUST-1183,William Anderson,Scissors Set Plus,Office Supplies,Labels,5,160.21,26.51,North,Minnesota
ORD-10139,2023-01-22,CUST-1047,Linda Wilson,Ballpoint Pens Set Standard,Office Supplies,Storage,8,153.2,13.94,East,Pennsylvania
ORD-10140,2021-06-28,CUST-1112,John Jackson,Executive Chair Plus,Furniture,Bookcases,10,1520.37,343.08,North,Ohio
ORD-10141,2022-12-20,CUST-1098,Charles Thomas,Filing Cabinet Standard,Furniture,Tables,5,1488.35,97.83,West,California
ORD-10142,2021-09-29,CUST-1106,Thomas Wilson,Office Desk Plus,Furniture,Tables,7,412.03,60.07,East,Pennsylvania
ORD-10143,2022-07-24,CUST-1142,Linda Garcia,MacBook Pro Standard,Technology,Printers,10,1323.01,226.17,East,New Jersey
ORD-10144,2022-03-10,CUST-1024,Lisa Jackson,MacBook Pro Pro,Technology,Accessories,9,827.48,81.22,North,Michigan
ORD-10145,2021-09-12,CUST-1133,Linda Smith,A4 Paper Ream Standard,Office Supplies,Paper,7,94.02,9.66,East,New Jersey
ORD-10146,2021-06-18,CUST-1151,Sarah Harris,HP LaserJet V1,Technology,Laptops,5,432.67,71.1,East,Pennsylvania
ORD-10147,2021-09-29,CUST-1176,Jennifer White,A4 Paper Ream Plus,Office Supplies,Paper,1,91.79,40.87,West,Nevada
ORD-10148,2021-07-02,CUST-1128,Lisa Jones,Scissors Set Standard,Office Supplies,Pens,3,206.03,82.37,East,Massachusetts
ORD-10149,2023-06-21,CUST-1039,Charles Williams,Ballpoint Pens Set V1,Office Supplies,Pens,10,179.88,15.23,East,Connecticut
ORD-10150,2021-10-14,CUST-1034,Robert Anderson,Office Desk Standard,Furniture,Chairs,10,409.29,77.77,South,North Carolina
ORD-10151,2021-04-22,CUST-1148,William Miller,Filing Cabinet Elite,Furniture,Bookcases,7,1186.51,-5.82,West,Nevada
ORD-10152,2023-05-12,CUST-1098,Charles Thomas,Coffee Table V1,Furniture,Bookcases,2,579.85,-25.12,West,Nevada
ORD-10153,2021-06-18,CUST-1193,Sarah Davis,Lounge Chair Elite,Furniture,Furnishings,2,929.38,143.61,North,Minnesota
ORD-10154,2021-04-29,CUST-1083,Joseph Davis,MacBook Pro Standard,Technology,Printers,10,2313.83,19.09,South,North Carolina
ORD-10155,2023-10-14,CUST-1187,Mary Davis,Executive Chair Pro,Furniture,Chairs,5,1431.87,24.03,West,California
ORD-10156,2023-12-09,CUST-1012,Mary Johnson,A4 Paper Ream V2,Office Supplies,Paper,8,25.06,9.87,South,North Carolina
ORD-10157,2022-04-13,CUST-1062,Christopher Garcia,HP LaserJet V2,Technology,Laptops,1,36.34,2.37,East,Connecticut
ORD-10158,2023-05-03,CUST-1111,Jennifer Jackson,Office Desk V2,Furniture,Chairs,10,1377.99,136.59,West,Oregon
ORD-10159,2022-09-29,CUST-1159,Lisa Williams,Office Desk V2,Furniture,Chairs,4,524.59,34.96,East,New Jersey
ORD-10160,2021-11-05,CUST-1056,Mary Smith,Mechanical Keyboard Standard,Technology,Accessories,1,729.69,-72.6,West,Arizona
ORD-10161,2023-05-10,CUST-1169,Jennifer Wilson,Ballpoint Pens Set Elite,Office Supplies,Binders,5,199.41,81.54,West,Arizona
ORD-10162,2023-11-02,CUST-1074,Michael Harris,Mechanical Keyboard Pro,Technology,Accessories,7,280.74,-15.23,East,Connecticut
ORD-10163,2021-06-02,CUST-1202,Karen White,Samsung Galaxy Elite,Technology,Accessories,2,2457.41,155.11,North,Ohio
ORD-10164,2021-09-03,CUST-1057,Robert Miller,Mechanical Keyboard V1,Technology,Laptops,10,2024.76,389.92,South,North Carolina
ORD-10165,2022-09-05,CUST-1080,Christopher Anderson,File Folders V1,Office Supplies,Pens,7,11.06,2.99,North,Wisconsin
ORD-10166,2022-04-01,CUST-1190,Richard Wilson,USB Hub V1,Technology,Phones,2,2064.47,-19.43,East,New York
ORD-10167,2021-09-08,CUST-1154,Robert Wilson,Storage Unit Plus,Furniture,Tables,10,111.91,13.79,West,California
ORD-10168,2022-07-18,CUST-1105,Linda Williams,3-Ring Binder Plus,Office Supplies,Storage,4,118.19,47.64,South,Florida
ORD-10169,2022-02-13,CUST-1109,Nancy Taylor,Lounge Chair Pro,Furniture,Chairs,9,981.85,263.08,North,Michigan
ORD-10170,2022-01-04,CUST-1009,Betty Taylor,Samsung Galaxy Elite,Technology,Printers,5,1504.88,371.76,South,North Carolina
ORD-10171,2023-12-29,CUST-1124,Barbara Miller,Standing Desk V2,Furniture,Tables,4,2557.23,461.01,West,Washington
ORD-10172,2022-12-22,CUST-1017,Daniel Jackson,Coffee Table V1,Furniture,Tables,8,1698.08,283.32,South,Virginia
ORD-10173,2022-02-17,CUST-1154,Robert Wilson,Executive Chair V2,Furniture,Tables,6,1219.35,-31.92,North,Illinois
ORD-10174,2022-11-21,CUST-1015,Robert Davis,Standing Desk Standard,Furniture,Bookcases,8,357.26,74.91,South,North Carolina
ORD-10175,2022-08-27,CUST-1149,John Smith,Stapler Pro V2,Office Supplies,Binders,7,164.09,45.45,West,Nevada
ORD-10176,2022-11-10,CUST-1166,Betty Wilson,Stapler Pro Pro,Office Supplies,Binders,2,67.79,23.16,East,New Jersey
ORD-10177,2022-12-19,CUST-1001,Susan Miller,HP LaserJet Plus,Technology,Phones,7,46.61,9.77,West,Washington
ORD-10178,2021-11-30,CUST-1107,Mary Thomas,MacBook Pro Plus,Technology,Printers,5,175.66,-13.0,North,Wisconsin
ORD-10179,2021-03-05,CUST-1086,Betty Garcia,Standing Desk V2,Furniture,Chairs,7,675.42,8.67,South,Virginia
ORD-10180,2021-04-12,CUST-1091,Richard White,HP LaserJet Standard,Technology,Accessories,1,1387.67,68.91,South,Florida
ORD-10181,2022-02-28,CUST-1066,James Garcia,Scissors Set Standard,Office Supplies,Labels,2,20.98,5.15,West,California
ORD-10182,2023-01-27,CUST-1090,Susan Jackson,Dell XPS Standard,Technology,Phones,5,140.2,-0.84,West,Oregon
ORD-10183,2022-04-11,CUST-1071,William Williams,Ballpoint Pens Set Elite,Office Supplies,Paper,7,164.59,69.88,South,Virginia
ORD-10184,2023-10-26,CUST-1035,David Brown,Lounge Chair V2,Furniture,Furnishings,10,878.27,7.89,East,New Jersey
ORD-10185,2023-06-11,CUST-1190,Richard Wilson,Bookcase Pro Plus,Furniture,Tables,6,1119.64,351.93,East,New Jersey
ORD-10186,2021-01-26,CUST-1132,Daniel Moore,File Folders Elite,Office Supplies,Storage,7,106.9,29.57,South,Virginia
ORD-10187,2023-04-22,CUST-1196,Thomas Harris,Standing Desk Elite,Furniture,Chairs,8,433.0,-15.16,South,Virginia
ORD-10188,2021-04-11,CUST-1169,Jennifer Wilson,A4 Paper Ream Plus,Office Supplies,Storage,1,179.92,31.37,North,Ohio
ORD-10189,2022-10-20,CUST-1090,Susan Jackson,Stapler Pro Plus,Office Supplies,Paper,4,130.88,27.86,West,Oregon
ORD-10190,2023-11-04,CUST-1138,John Miller,A4 Paper Ream V2,Office Supplies,Binders,3,176.47,67.9,West,California
ORD-10191,2023-01-25,CUST-1146,Charles Harris,Executive Chair Plus,Furniture,Furnishings,2,1244.08,276.77,South,Florida
ORD-10192,2021-07-05,CUST-1190,Richard Wilson,Coffee Table Pro,Furniture,Furnishings,4,575.44,168.51,South,Florida
ORD-10193,2021-12-21,CUST-1147,Nancy Wilson,A4 Paper Ream Plus,Office Supplies,Storage,5,272.29,43.61,East,New Jersey
ORD-10194,2023-12-03,CUST-1167,Richard Jones,HP LaserJet Standard,Technology,Printers,6,525.69,56.68,West,Nevada
ORD-10195,2022-07-22,CUST-1027,Lisa Smith,Standing Desk Elite,Furniture,Furnishings,3,1006.03,157.86,South,Georgia
ORD-10196,2022-06-16,CUST-1148,William Miller,USB Hub Standard,Technology,Accessories,10,2318.55,46.62,East,New Jersey
ORD-10197,2022-01-06,CUST-1112,John Jackson,File Folders Pro,Office Supplies,Storage,9,149.48,48.12,South,Florida
ORD-10198,2023-05-12,CUST-1149,John Smith,Stapler Pro Standard,Office Supplies,Paper,5,55.81,3.99,South,Florida
ORD-10199,2021-09-03,CUST-1144,Joseph Jackson,Ballpoint Pens Set Pro,Office Supplies,Labels,1,63.18,28.24,North,Michigan
ORD-10200,2023-09-26,CUST-1089,Christopher Davis,USB Hub V2,Technology,Printers,1,2467.0,-10.52,South,Florida
ORD-10201,2023-05-30,CUST-1125,Richard Miller,Scissors Set Pro,Office Supplies,Pens,1,79.75,34.29,East,Massachusetts
ORD-10202,2022-12-07,CUST-1107,Mary Thomas,A4 Paper Ream Standard,Office Supplies,Pens,2,93.78,15.6,East,Massachusetts
ORD-10203,2023-10-01,CUST-1095,Michael Wilson,File Folders V2,Office Supplies,Labels,7,189.88,84.3,North,Michigan
ORD-10204,2023-02-08,CUST-1041,Patricia Anderson,3-Ring Binder V1,Office Supplies,Paper,1,109.27,10.19,East,Pennsylvania
ORD-10205,2022-06-02,CUST-1114,Lisa White,Office Desk Elite,Furniture,Chairs,5,282.15,33.39,North,Minnesota
ORD-10206,2022-08-02,CUST-1110,Nancy Jackson,Tape Dispenser Plus,Office Supplies,Pens,5,37.67,7.28,East,Connecticut
